------------------------------------------------------------------------------------------------------
[2016-05-30 17:29:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-30 17:29:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-05-30 17:30:04] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 18:45:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 18:45:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 18:45:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:04:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:04:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:04:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:04:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:04:21] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:05:58] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:05:58] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:05:58] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:06:59] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:07:45] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:08:54] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
 [2016-05-30 19:11:56] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:14:28] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 19:27:19] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
