------------------------------------------------------------------------------------------------------
[2016-10-28 04:49:05] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-10-28 04:49:05] [scale 512; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-512_late_uniform_1/
[2016-10-28 04:49:09] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 05:52:25] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:04:18] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:04:38] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:04:38] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:04:58] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:05:02] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:05:23] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:05:49] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:06:07] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:06:28] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:06:35] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:07:43] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:08:09] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:08:54] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:09:42] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:10:05] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:10:05] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:10:53] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:16:33] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
[2016-10-28 07:29:39] [scale 512; binding late; distribution uniform; iteration 1; rerun 1]
