-------------------------------------------------------------------------------------------------------
[2016-05-29 21:46:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Run 1/-1
[2016-05-29 21:46:45] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1] - Root: run-2048_late_uniform_1/
[2016-05-29 21:46:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 02:17:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:18] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:18] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:18] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:19] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:20] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:35] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:39] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:01:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:02:08] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:02:08] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:02:16] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:04:49] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:05:07] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:06:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:06:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:06:59] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:08] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:08] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:52] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:52] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:52] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:52] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:53] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:54] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:54] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:54] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:54] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:54] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:55] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:55] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:55] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:55] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:55] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:56] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:26:57] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 03:29:42] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
[2016-05-30 04:19:48] [scale 2048; binding late; distribution uniform; iteration 1; rerun 1]
